Construct Name,Subject Name,Question,Correct Answer,Incorrect Answer,Misconception,MisconceptionId
Translate word problems into inequality notation,Word Problems and Inequalities,A store has a policy that any purchase of 20 or more qualifies for free shipping. Which inequality represents this policy if \( p \) is the purchase price?,\( p \geq 20 \),\( p > 20 \),"When using inequality notation, thinks ""greater than/less than or equal to"" symbols are instead the ""greater than/less than"" symbols and vice versa",1660
Find the Circumference,Measurement of Circles,Calculate the circumference of a circle with a diameter of 10 cm.,31.4 cm (using the formula \( C = \pi \times d = 3.14 \times 10 \)),10 cm (confusing the value of the diameter with the circumference itself),Confuses circumference and diameter,1661
Interpreting Linear Graphs and Equations,Graphing and Analyzing Linear Functions,"Given the linear equation \( y = 2x + 3 \), determine the y-intercept of the graph.",3,2,Does not know the y intercept is where the x coordinate is 0,1662
Proportion and Scaling,Scaling and Proportions,"If a scale factor of \( \frac{1}{2} \) is applied to all dimensions of a model car originally 30 cm in length, what is the new length of the model car?",15 cm,60 cm,Thinks halving is the same as multiplying by 2,1663
Calculate the square of a number,Number Operations,"If the perimeter of a square is 40, what is the area of the square?",\( 100 \),\( 5 \),Mixes up squaring and halving,1664
Understanding the impact of scaling on statistical measures,Statistics: Effect of Scaling on Data,"Consider the following set of data with frequencies: \(\{3, 7, 8\}\). If the frequencies of these data points are multiplied by 2, what will be the new median?",The median remains \(7\),"The median is multiplied by the scale factor, resulting in a new median of \(14\)",Believes when frequencies multiply by a scale factor in a table the median also multiplies by that scale factor,1665
Factorise a single bracket containing a linear expression by taking out a single numeric common factor (e.g. 4),Factorising into a Single Bracket,Factorise fully \( 8x + 16 \),4(2x + 4),8(x - 8),"When factorising into single brackets, factorises the first term correctly but subtracts the number outside the bracket with the second term in the expression to find the second term in the bracket",1666
Comparing Unit Fractions,Fractions,"Which fraction is the smallest: \( \frac{1}{3} \), \( \frac{1}{5} \), \( \frac{1}{8} \)?",\( \frac{1}{8} \),\( \frac{1}{3} \),When comparing unit fractions believes that fractions with larger denominators are greater in size.,1667
Use perimeter in optimization problems,Perimeter,"A farmer has 100 meters of fencing to make a rectangular pen against an existing wall, using the wall as one side of the rectangle. What dimensions will give the maximum area if he uses all the fencing?","Make the width 25 meters and use the wall as one length; thus, \( \text{Width} = 25 \mathrm{~m}, \text{Length (unfenced)} = 50 \mathrm{~m} - 25 \mathrm{~m} = 25 \mathrm{~m} \), maximizing the area to \( 625 \mathrm{~m}^{2} \).",Focus on the expression \( 100 \mathrm{~m}^{2} \) mistaking calculations as being about perimeter instead.,Calculates area when asked for perimeter,1668
Identifying angles in geometric diagrams using 3-letter notation,Geometry - Angles and their Notation,"In the diagram below, triangle XYZ has been marked, and a shaded angle is formed by the intersection of lines XZ and ZW at point Z. Which angle correctly uses the three-letter notation to describe the shaded angle?",XZW,XYZ,"In 3 letter angle notation, gives a wider angle that contains the shaded angle",1669
Using prime factorization in multiplication,Prime Numbers and Factorization,"James and Lily are asked to compute \( 45 \times 60 \). James uses the prime factorization of \( 45 \) and \( 60 \), finding \( (3^2 \times 5) \times (2^2 \times 3 \times 5) \). Lily tries to first multiply the tens digits and then adds the zero at the end. Which approach correctly calculates the product?",Only James,Lily's approach,Does not realise that multiplication can be broken down into factors,1670
Calculate the area using grid counting,Geometry - Area Calculation,Consider the following shape drawn on a grid: a rectangle with four complete squares entirely within it and additional partial squares along its edges. Determine the area of the rectangle.,The area of the rectangle is 6 square units. This includes the 4 complete squares within it plus 4 halves of partially covered squares along its edges.,"The area of the rectangle is 4 square units, because only the full squares were counted.",Does not know how to find area by counting squares on a grid,1671
Understanding the order of operations when dealing with expressions,Arithmetic Expressions,\[ 5 + 3 \times 2 \] Evaluate the expression.,\( 5 + 3 \times 2 = 5 + 6 = 11 \),\( (5 + 3) \times 2 = 8 \times 2 = 16 \),"Confuses the order of operations, believes addition comes before multiplication ",1672
Unit Conversion in Measurement,Metric Unit Conversion,Convert \(0.45\) meters into millimeters.,\(450\) millimeters,\(4500\) millimeters,Multiplied by 1000 instead of 100,1673
Analyzing Motion on Displacement-Time Graphs,Kinematics and Graph Interpretation,"This displacement-time graph depicts the journey of a bike over the course of \( 15 \) seconds.

The bike travels at a constant speed of \( 4 \, \mathrm{m/s} \) during this time interval.

What is the total distance traveled by the bike over the first \( 15 \) seconds? ![A graph showing Time in seconds on the x-axis and Distance in metres on the y-axis. A straight line is drawn from the origin to the point (15, \bigstar)]()",\( 60 \mathrm{~m} \),\( 30 \mathrm{~m} \),Believes distance is the area under the graph on a displacement time graph,1674
Round whole numbers to the nearest hundred,Rounding Whole Numbers,\[ 56832 \] Round this number to the nearest hundred.,\( 56800 \),\( 57000 \),Changes wrong place value column when rounding,1675
Adding and Subtracting Surds with Simplification,Operations with Surds,"\( 
3\sqrt{12} - 2\sqrt{27} \equiv c\sqrt{3} 
\)

What is the value of \( c \) ?",\( 2 \),\( 1 \),"When adding or subtracting surds, does not simplify the surd before adding the numbers in front of the surd",1676
Calculate the range from a list of data,Range and Interquartile Range from a List of Data,"What is the range of this set of data?  
\[  
7 \mathrm{~m}, \quad 18 \mathrm{~m}, \quad 4 \mathrm{~m}, \quad 12 \mathrm{~m}  
\]",\( 14 \mathrm{~m} \),\( 5 \mathrm{~m} \),"Thinks the range is just the first value subtracted from the last value, without ordering",1677
Calculate the side length of a rhombus given its area,Area of Simple Shapes,A rhombus has an area of \( 64 \mathrm{~cm}^{2} \) and a diagonal of \( 16 \mathrm{~cm} \). What is the length of each side?,\( 8 \mathrm{~cm} \),\( 16 \mathrm{~cm} \),Confuses perimeter and area,1678
Apply the associative property of multiplication to simplify expressions involving constants,Simplifying Expressions Using the Associative Property,"Use the associative property to simplify the product 
\[
(2 \times 5) \times 4
\]",\( 2 \times (5 \times 4) = 2 \times 20 = 40 \),\( 2 + 5 \times 4 = 2 + 20 = 22 \),Uses addition instead of the associative property of multiplication,1679
Translate verbal descriptions into algebraic expressions,Writing Expressions from Word Problems,"Write an expression for the statement: ""Multiply the sum of \( x \) and \( y \) by \( z \).""",\( z(x+y) \),\( z \times (x+y) \),Does not realize we can omit the multiplication symbol in algebraic expressions,1680
Interpreting Histograms and Frequency Distributions,Statistics,A histogram shows the ages of participants in a study. The age group 20-30 has a frequency of 50. Which of the following statements about the participants in this age group is definitely true?,"It is not possible to know the exact ages of the participants in the 20-30 age group based on the histogram alone. The distribution could be skewed, meaning more participants could be closer to 20 or 30.","The ages of participants in the 20-30 group are evenly distributed, so there are exactly 5 participants for each age in that range.",Assumes grouped data is evenly distributed within each group,1681
INSERT TEXT HERE Interpret systems of inequalities graphically INSERT TEXT HERE,INSERT TEXT HERE Graphing Systems of Inequalities INSERT TEXT HERE,INSERT TEXT HERE Which region satisfies both inequalities \( y \leq x + 1 \) and \( y \geq -x + 4 \)? INSERT TEXT HERE,INSERT TEXT HERE The region where the lines intersect and are shaded. INSERT TEXT HERE,INSERT TEXT HERE Only the line \( y = x + 1 \). INSERT TEXT HERE,Confuses inequality symbols with equality,1682
Use Pythagorean theorem to find the hypotenuse,Pythagorean Theorem,"In a right-angled triangle, if one side is \( 3 \mathrm{~cm} \) and the other side is \( 4 \mathrm{~cm} \), what is the length of the hypotenuse?",\( 5 \mathrm{~cm} \),\( 7 \mathrm{~cm} \),Thinks the length of the hypotenuse is the sum of the two shorter sides,1683
Determine the difference between graduated scale markings,Measurement and Scales,"On a ruler marked with centimeters, what is the difference in length between the 4 cm mark and the 7 cm mark?",3 cm,4 cm,"When finding the difference between two marks on a scale, counts lines instead of gaps",1684
Recognize the angle of a sector,Parts of a Circle,"If a circle has a sector with an angle of \(60^\circ\), what is the diameter of the entire circle if the radius is known to be \(10\mathrm{~cm}\)?","The diameter of the circle is \(20\mathrm{~cm}\) (since diameter is twice the radius, not related to the angle of the sector).",\(60\mathrm{~cm}\) (confusing the angle of the sector as the diameter measurement).,Confuses angle of a sector with the diameter,1685
Relate circumference and diameter,Properties of Circles,"If the diameter of a circle is \( 14 \mathrm{~cm} \), what is the circumference of the circle?",\( 14\pi \mathrm{~cm} \),\( 7\pi \mathrm{~cm} \),Confuses diameter and radius,1686
Identify the order of rotational symmetry of a square,Rotational Symmetry,![A solid yellow square (4 sided polygon with all 4 sides of equal length and angles).]() What is the order of rotational symmetry of this square?,\( 4 \),\( 3 \),Gives one fewer order of rotational symmetry than there is,1687
